,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
220,850,Yes,1.6,Yes,6,Yes,29.0,0.5,133,5,19,404,642,593.0,19,17.0,10,Yes,,Yes,0
221,660,No,0.5,No,5,Yes,40.0,0.5,111,2,10,262,1178,588.0,6,5.0,18,Yes,Yes,Yes,0
222,1225,Yes,2.1,Yes,8,No,13.0,0.5,116,4,12,759,1404,3836.0,12,11.0,11,No,,No,3
223,1452,Yes,0.5,Yes,1,Yes,25.0,0.9,123,6,11,42,1040,2669.0,12,10.0,13,Yes,No,No,2
224,1686,Yes,2.8,Yes,3,No,,0.1,166,4,4,397,1453,,14,11.0,2,No,No,No,3
225,1634,Yes,1.4,No,1,Yes,17.0,0.2,200,2,5,964,1677,3031.0,11,6.0,6,Yes,Yes,Yes,3
226,1708,Yes,2.4,Yes,18,Yes,49.0,0.1,109,1,19,233,517,3388.0,6,4.0,16,Yes,Yes,Yes,3
227,1151,Yes,2.9,Yes,0,No,31.0,0.6,128,8,1,1022,1560,2377.0,18,8.0,13,No,Yes,No,2
228,1578,No,1.9,Yes,2,Yes,37.0,0.1,138,4,19,411,1226,2458.0,19,16.0,3,Yes,No,Yes,2
229,1689,No,1.8,No,17,No,24.0,0.3,127,3,18,954,1200,2766.0,7,2.0,7,No,Yes,Yes,3
230,1488,No,0.5,No,1,No,39.0,0.8,112,5,6,1528,1647,3054.0,14,10.0,19,No,No,No,3
231,1313,Yes,1.8,Yes,4,No,9.0,0.4,105,1,6,416,1308,3791.0,11,10.0,6,No,Yes,Yes,3
232,1715,No,1.0,Yes,4,Yes,31.0,0.5,83,8,17,638,1615,625.0,17,6.0,13,Yes,No,No,0
233,1442,No,1.0,Yes,0,No,27.0,0.1,192,3,19,231,687,2227.0,6,5.0,20,Yes,Yes,No,1
234,528,No,1.7,No,12,Yes,6.0,0.8,142,2,15,574,637,3256.0,9,8.0,6,Yes,Yes,No,2
235,1523,Yes,1.8,No,6,Yes,11.0,0.1,129,1,8,148,1606,707.0,19,8.0,19,Yes,Yes,No,0
236,1133,No,1.4,No,3,No,42.0,0.1,199,5,12,730,1543,1457.0,18,12.0,20,Yes,No,Yes,1
237,1718,Yes,2.5,Yes,14,Yes,6.0,0.1,183,5,16,564,980,3755.0,7,1.0,8,Yes,Yes,Yes,3
238,1330,No,0.5,No,0,No,38.0,1.0,183,7,1,1290,1441,1733.0,9,0.0,11,Yes,No,Yes,1
239,1799,Yes,0.5,No,0,No,49.0,0.4,107,4,2,632,1383,720.0,12,2.0,11,Yes,Yes,Yes,0
240,633,Yes,2.2,No,0,Yes,49.0,0.1,139,8,1,529,1009,3560.0,11,1.0,16,Yes,Yes,Yes,2
241,724,No,2.7,Yes,0,No,44.0,0.5,187,7,0,1273,1754,2311.0,7,6.0,7,Yes,No,No,2
242,822,Yes,0.5,No,0,Yes,51.0,0.3,157,6,20,667,860,3846.0,10,,3,Yes,No,No,3
243,1918,No,1.9,No,2,No,10.0,0.6,110,5,10,1170,1543,1717.0,7,1.0,16,Yes,Yes,Yes,2
244,1891,No,2.8,No,7,Yes,37.0,0.4,129,7,14,169,1108,3704.0,8,6.0,11,Yes,No,No,3
245,1373,Yes,1.0,Yes,2,No,50.0,0.2,127,7,12,105,673,3800.0,8,3.0,14,Yes,No,No,3
246,862,Yes,0.8,Yes,3,No,23.0,0.4,165,2,15,793,1758,278.0,16,3.0,11,No,No,Yes,0
247,1273,No,1.0,No,3,Yes,48.0,0.4,99,4,15,490,886,1767.0,18,15.0,11,Yes,Yes,No,1
248,957,Yes,2.5,No,4,No,7.0,0.8,107,5,10,1201,1485,1846.0,12,5.0,7,Yes,No,Yes,1
249,1617,Yes,1.3,Yes,3,Yes,30.0,0.7,105,2,4,246,1038,829.0,9,0.0,10,Yes,No,No,0
250,893,No,2.5,Yes,0,No,55.0,0.6,183,2,1,417,946,2986.0,7,1.0,6,No,Yes,Yes,2
251,1210,No,0.5,No,0,No,63.0,0.1,93,5,0,1177,1462,2394.0,17,9.0,7,No,No,No,2
252,708,Yes,2.7,Yes,0,Yes,63.0,1.0,195,8,7,78,654,2169.0,6,5.0,7,Yes,Yes,Yes,1
253,835,No,1.1,Yes,2,No,7.0,0.2,101,4,7,323,1604,1181.0,13,5.0,15,Yes,Yes,Yes,0
254,1450,Yes,2.7,Yes,9,No,19.0,0.6,131,1,17,707,1882,575.0,15,9.0,12,No,No,No,0
255,973,Yes,1.5,No,5,Yes,57.0,0.2,190,7,16,457,1816,2977.0,6,4.0,2,Yes,No,No,2
256,601,Yes,1.4,No,4,Yes,4.0,0.1,154,4,13,356,765,532.0,12,8.0,10,Yes,Yes,Yes,0
257,507,Yes,0.5,Yes,1,No,32.0,0.5,141,7,11,936,1398,1702.0,17,0.0,5,Yes,Yes,Yes,1
258,564,No,1.8,Yes,0,Yes,51.0,0.5,168,3,1,912,1980,1074.0,14,8.0,15,Yes,Yes,No,0
259,1559,Yes,1.6,Yes,6,Yes,,0.5,162,6,17,179,1559,3352.0,9,1.0,3,Yes,Yes,Yes,3
260,754,No,0.5,Yes,7,Yes,,0.7,178,7,10,1914,1928,1027.0,6,3.0,5,Yes,No,No,1
261,728,No,2.7,Yes,0,No,25.0,0.2,88,4,1,526,1529,2039.0,5,1.0,12,Yes,Yes,Yes,1
262,1431,Yes,0.5,No,0,Yes,56.0,0.6,191,1,1,156,952,461.0,7,3.0,8,Yes,No,No,0
263,767,No,1.5,No,4,No,28.0,0.7,175,4,10,344,1517,527.0,10,0.0,15,No,Yes,No,0
264,1722,No,2.6,No,8,No,18.0,0.8,177,2,16,865,1741,3271.0,14,0.0,15,Yes,No,Yes,3
265,1992,Yes,1.6,No,5,Yes,57.0,1.0,100,2,15,1552,1596,606.0,9,3.0,4,Yes,,Yes,1
266,1876,No,0.5,No,10,Yes,40.0,0.3,86,6,14,546,1564,2513.0,10,8.0,16,Yes,,No,3
267,1054,No,1.1,Yes,10,Yes,38.0,0.4,136,6,12,1097,1222,1675.0,18,4.0,14,Yes,,Yes,1
268,1283,Yes,1.6,Yes,4,No,47.0,0.9,93,5,5,372,692,2698.0,9,6.0,17,Yes,Yes,No,2
269,1281,Yes,2.3,Yes,0,No,28.0,0.3,148,1,6,1285,1617,1129.0,12,1.0,6,No,Yes,No,1
270,1066,No,0.6,No,2,Yes,7.0,0.9,114,7,18,1242,1571,,19,13.0,6,Yes,Yes,No,0
271,730,No,2.1,Yes,0,Yes,4.0,0.1,89,8,2,302,1247,1210.0,19,15.0,4,Yes,Yes,Yes,0
272,1053,Yes,0.8,Yes,7,Yes,45.0,0.3,103,1,12,594,1767,3086.0,17,6.0,5,Yes,Yes,Yes,3
273,1611,Yes,0.5,Yes,11,No,3.0,0.6,98,3,14,303,714,1595.0,8,4.0,9,Yes,No,Yes,1
274,793,No,1.0,Yes,5,Yes,30.0,0.9,133,2,15,1858,1935,2332.0,17,13.0,14,Yes,Yes,Yes,2
275,1220,No,2.9,No,3,No,62.0,0.5,125,4,8,403,1933,2589.0,19,11.0,15,Yes,Yes,Yes,2
276,1662,No,0.5,No,0,Yes,61.0,0.8,126,4,13,32,1509,3760.0,9,5.0,13,Yes,Yes,Yes,3
277,1281,Yes,2.8,Yes,3,Yes,8.0,0.3,144,4,19,590,954,1851.0,8,2.0,9,Yes,Yes,No,1
278,538,No,0.8,No,12,Yes,2.0,0.8,177,7,13,235,662,417.0,8,4.0,9,Yes,No,Yes,0
279,823,Yes,0.5,No,0,No,39.0,0.4,187,8,4,630,888,294.0,13,9.0,11,No,No,Yes,0
280,1733,Yes,2.8,No,3,Yes,36.0,1.0,119,6,20,357,527,3576.0,17,16.0,9,Yes,No,No,3
281,1429,No,1.5,Yes,0,Yes,40.0,0.9,100,3,14,246,820,3945.0,11,7.0,18,Yes,No,Yes,3
282,1839,Yes,1.2,No,9,Yes,54.0,0.5,200,7,11,475,1493,927.0,19,10.0,18,Yes,No,Yes,1
283,659,No,2.7,No,6,Yes,6.0,0.5,110,3,7,1054,1929,2044.0,15,5.0,2,Yes,No,Yes,1
284,1953,Yes,2.1,Yes,7,No,56.0,0.1,158,8,9,555,764,2334.0,11,5.0,4,Yes,No,No,2
285,1172,No,1.9,No,0,Yes,27.0,0.7,164,1,3,607,1092,1477.0,12,0.0,6,Yes,No,No,1
286,612,Yes,1.9,Yes,6,No,16.0,0.3,102,7,7,1360,1891,3161.0,8,4.0,3,No,No,No,3
287,1563,No,2.4,No,0,Yes,24.0,0.2,170,8,0,142,1699,3660.0,7,5.0,5,Yes,Yes,No,3
288,1191,No,1.3,Yes,16,Yes,26.0,0.8,84,1,20,681,683,,14,3.0,9,Yes,,Yes,1
289,615,Yes,0.5,Yes,0,No,42.0,0.6,163,6,4,104,1664,2211.0,7,4.0,18,No,No,Yes,1
290,1893,Yes,2.1,Yes,8,No,63.0,0.2,134,2,11,637,763,3822.0,14,3.0,18,No,Yes,Yes,3
291,1563,No,1.7,Yes,10,No,16.0,0.1,151,7,13,410,572,3922.0,11,1.0,8,No,No,Yes,3
292,1995,Yes,1.9,No,6,No,9.0,0.8,139,6,18,1830,1963,1203.0,14,12.0,18,Yes,Yes,Yes,2
293,1517,No,0.5,No,6,Yes,48.0,0.6,143,5,14,802,1489,2822.0,15,5.0,11,Yes,Yes,Yes,3
294,832,No,1.6,Yes,1,Yes,34.0,0.3,108,5,5,311,1294,447.0,15,13.0,12,Yes,,No,0
295,1162,No,2.0,No,0,Yes,56.0,0.7,114,7,1,56,997,1652.0,5,0.0,20,Yes,No,No,1
296,1595,Yes,2.6,No,7,No,12.0,0.3,121,8,19,344,655,,15,1.0,16,No,Yes,No,3
297,1329,Yes,1.0,No,1,No,52.0,0.9,181,6,2,1053,1458,1228.0,8,6.0,6,Yes,No,Yes,1
298,928,Yes,0.5,Yes,11,No,56.0,0.7,80,8,13,221,1243,666.0,19,10.0,5,No,Yes,No,0
299,1656,Yes,0.5,Yes,8,Yes,38.0,0.1,105,7,17,506,519,1499.0,12,8.0,19,Yes,No,Yes,1
300,1937,Yes,1.7,No,17,No,58.0,0.6,189,1,19,1728,1767,3321.0,5,4.0,14,Yes,Yes,No,3
301,977,Yes,1.1,Yes,2,No,57.0,0.6,181,6,7,63,566,1206.0,7,1.0,8,No,Yes,Yes,0
302,768,Yes,0.9,No,16,Yes,56.0,0.1,113,1,20,418,515,952.0,19,3.0,16,Yes,No,Yes,0
303,1464,Yes,0.5,Yes,11,No,12.0,0.9,117,2,14,854,1168,3927.0,5,3.0,15,No,Yes,Yes,3
304,1177,No,0.9,No,1,Yes,29.0,0.4,191,2,8,178,882,311.0,18,5.0,19,Yes,No,No,0
305,1348,No,2.0,No,18,No,52.0,0.3,98,3,20,1869,1942,955.0,18,11.0,7,Yes,Yes,Yes,1
306,1956,No,2.2,No,0,Yes,37.0,0.5,87,3,2,185,776,1109.0,13,1.0,19,Yes,Yes,No,1
307,1751,No,0.5,Yes,6,No,8.0,0.6,178,6,20,170,564,2969.0,8,6.0,17,No,No,Yes,2
308,1530,No,2.0,No,11,No,42.0,0.8,177,6,13,454,1975,725.0,11,10.0,19,No,No,Yes,0
309,1997,Yes,1.8,Yes,1,No,40.0,0.5,185,4,8,866,1212,1655.0,7,6.0,15,Yes,No,No,2
310,1414,Yes,1.5,Yes,5,No,44.0,0.5,180,2,6,44,1118,3490.0,16,12.0,13,No,Yes,No,3
311,1707,No,1.4,No,0,No,41.0,0.8,80,7,2,1331,1388,1774.0,12,0.0,10,No,No,No,2
312,894,No,0.5,Yes,1,Yes,50.0,0.5,199,3,14,1285,1462,3615.0,13,0.0,6,Yes,No,Yes,3
313,645,No,1.2,No,6,Yes,,0.7,184,8,17,741,1130,714.0,18,2.0,13,Yes,Yes,No,0
314,1163,No,2.8,Yes,0,No,49.0,0.6,155,2,0,520,754,2768.0,19,2.0,12,No,No,Yes,2
315,1126,No,0.7,No,3,No,49.0,0.9,165,8,17,114,1726,3739.0,14,1.0,13,Yes,No,No,3
316,1648,No,0.7,No,6,Yes,64.0,0.8,170,4,9,1153,1876,610.0,8,1.0,6,Yes,Yes,No,1
317,1170,Yes,0.9,No,6,Yes,14.0,0.4,199,2,13,474,709,715.0,18,5.0,20,Yes,No,Yes,0
318,508,No,0.8,No,7,Yes,42.0,0.3,94,1,8,39,557,663.0,13,12.0,7,Yes,No,No,0
319,1097,No,2.1,Yes,6,No,,0.2,161,3,8,419,1914,1725.0,14,5.0,9,Yes,No,Yes,1
320,728,No,1.7,Yes,0,Yes,5.0,0.6,101,2,20,584,775,,16,0.0,5,Yes,Yes,No,0
321,1980,No,0.5,Yes,2,Yes,29.0,0.8,177,1,13,312,1910,3865.0,12,10.0,18,Yes,No,No,3
322,1504,No,2.3,Yes,1,No,64.0,0.9,182,1,2,19,1923,3059.0,6,5.0,10,No,Yes,No,3
323,1379,Yes,2.1,Yes,14,Yes,63.0,1.0,83,1,17,207,1370,651.0,9,6.0,7,Yes,Yes,No,0
324,1698,No,2.1,No,5,Yes,18.0,0.9,160,6,20,363,994,796.0,13,3.0,14,Yes,No,Yes,0
325,920,No,2.1,Yes,5,No,25.0,0.4,115,7,14,209,1078,785.0,10,7.0,5,No,Yes,Yes,0
326,1144,Yes,1.5,Yes,0,No,21.0,0.4,189,1,11,159,724,3252.0,16,0.0,8,No,No,No,2
327,1995,Yes,0.5,No,6,No,26.0,0.2,129,1,15,649,1104,1322.0,15,11.0,7,No,Yes,Yes,1
328,1430,No,0.5,Yes,1,No,27.0,0.5,183,1,16,1132,1182,,7,1.0,15,No,Yes,Yes,2
329,972,Yes,0.5,Yes,5,No,13.0,0.4,193,5,8,1392,1795,1615.0,11,6.0,13,No,Yes,No,1
330,662,No,0.5,No,5,No,20.0,0.8,138,1,10,1001,1224,2125.0,17,15.0,15,No,Yes,Yes,1
331,1867,No,2.3,No,0,Yes,9.0,0.1,191,6,3,712,1442,,6,1.0,2,Yes,No,Yes,1
332,1730,No,2.0,Yes,0,Yes,20.0,0.1,143,4,10,418,1023,1595.0,14,0.0,12,Yes,Yes,No,1
333,1723,Yes,1.0,No,1,Yes,7.0,0.6,126,3,17,384,1361,1213.0,5,0.0,16,Yes,Yes,Yes,1
334,1882,Yes,1.3,Yes,8,No,47.0,0.2,140,2,13,119,652,2500.0,17,1.0,11,No,No,Yes,2
335,803,No,0.8,Yes,0,No,18.0,0.3,106,4,1,627,935,2801.0,18,15.0,12,No,Yes,No,2
336,580,Yes,1.2,Yes,0,No,47.0,0.9,91,3,1,1086,1345,3451.0,15,1.0,11,Yes,Yes,No,3
337,668,No,2.3,No,2,Yes,48.0,0.3,114,1,19,195,1292,1201.0,14,12.0,4,Yes,Yes,No,0
338,1391,No,1.4,No,2,Yes,36.0,0.8,182,1,6,14,1256,3139.0,14,7.0,14,Yes,Yes,No,2
339,1560,No,2.3,No,0,Yes,22.0,0.8,169,7,1,745,1364,1938.0,15,11.0,16,Yes,Yes,Yes,2
340,821,No,1.8,Yes,5,No,54.0,0.1,109,3,9,253,1786,3185.0,8,4.0,15,Yes,No,No,2
341,811,Yes,2.4,Yes,5,Yes,2.0,0.3,106,6,13,333,1429,2111.0,18,7.0,2,Yes,No,Yes,1
342,1989,Yes,2.9,Yes,8,No,17.0,0.1,193,8,15,629,682,2369.0,7,0.0,18,Yes,Yes,No,2
343,1034,Yes,2.7,Yes,6,No,37.0,0.7,120,7,20,707,1199,3625.0,17,1.0,12,No,Yes,Yes,3
344,618,No,2.1,No,2,No,6.0,0.3,86,1,4,1314,1688,1051.0,13,10.0,15,No,No,Yes,0
345,654,Yes,1.3,No,0,Yes,52.0,0.7,196,4,4,1715,1898,1036.0,17,4.0,13,Yes,No,No,1
346,576,Yes,2.8,No,2,Yes,10.0,0.2,184,5,7,513,1438,2938.0,6,0.0,5,Yes,Yes,Yes,2
347,667,Yes,0.6,No,6,Yes,3.0,0.7,185,6,13,13,1463,2855.0,5,0.0,19,Yes,No,Yes,2
348,869,Yes,1.0,No,7,Yes,57.0,0.6,118,1,15,1243,1584,2727.0,13,3.0,8,Yes,No,No,2
349,635,Yes,0.5,Yes,2,No,42.0,0.4,149,3,4,300,1059,2973.0,12,5.0,18,No,No,Yes,2
350,609,Yes,3.0,No,15,Yes,44.0,0.3,117,1,16,58,1253,2581.0,15,11.0,15,Yes,No,Yes,1
351,1557,No,2.8,Yes,16,No,2.0,0.1,123,5,20,1107,1442,2690.0,18,16.0,9,No,No,Yes,3
352,1604,Yes,1.7,No,2,No,33.0,1.0,191,8,5,134,939,916.0,13,10.0,12,No,Yes,Yes,0
353,1182,No,0.5,No,7,Yes,8.0,0.5,138,8,16,275,986,2563.0,19,17.0,19,Yes,No,No,2
354,848,Yes,2.1,Yes,10,Yes,19.0,0.8,148,7,18,176,1029,3359.0,10,0.0,14,Yes,,No,2
355,1610,Yes,2.9,No,7,Yes,64.0,0.9,181,4,12,1236,1280,941.0,8,4.0,9,Yes,Yes,No,1
356,1828,Yes,2.1,Yes,0,No,,0.9,199,1,1,336,898,2280.0,17,14.0,4,No,No,No,2
357,880,No,2.0,Yes,1,Yes,50.0,0.5,194,7,3,1116,1381,827.0,15,9.0,6,Yes,No,Yes,0
358,1394,Yes,0.9,Yes,10,Yes,62.0,0.3,175,5,13,1010,1565,473.0,11,1.0,20,Yes,Yes,No,0
359,1960,Yes,2.3,Yes,1,Yes,61.0,0.3,86,7,3,205,1299,3865.0,10,7.0,11,Yes,No,No,3
360,809,No,0.8,No,10,No,21.0,0.9,91,7,19,1453,1726,1274.0,18,7.0,3,No,,No,1
361,899,No,0.5,Yes,13,Yes,57.0,0.9,172,2,18,788,1331,364.0,11,1.0,7,Yes,Yes,No,0
362,1976,Yes,0.7,Yes,4,No,32.0,0.8,171,2,7,1301,1922,3699.0,17,11.0,13,No,Yes,Yes,3
363,879,No,1.5,Yes,0,Yes,21.0,0.8,187,4,2,463,1038,2927.0,14,13.0,11,Yes,No,Yes,2
364,916,Yes,2.6,No,0,No,36.0,0.3,195,4,12,188,992,1470.0,13,0.0,14,No,Yes,No,0
365,763,No,1.7,Yes,8,Yes,2.0,0.5,92,8,14,1028,1186,1050.0,6,4.0,8,Yes,Yes,No,0
366,508,No,1.6,Yes,0,No,9.0,0.4,162,6,2,1419,1920,2616.0,18,8.0,10,Yes,Yes,Yes,2
367,825,No,2.9,Yes,0,No,34.0,0.8,99,8,17,1471,1866,,8,2.0,10,Yes,Yes,No,3
368,1864,No,1.4,No,8,Yes,46.0,0.7,178,1,12,168,981,2686.0,11,7.0,18,Yes,Yes,Yes,2
369,1725,No,0.5,Yes,8,Yes,52.0,1.0,185,6,12,1125,1195,1243.0,19,18.0,5,Yes,Yes,Yes,1
370,1108,Yes,2.9,No,10,No,52.0,0.1,183,2,12,130,1706,3264.0,16,1.0,13,No,Yes,Yes,3
371,1011,No,1.1,No,4,Yes,36.0,0.2,131,7,18,481,749,2261.0,7,6.0,16,Yes,Yes,Yes,1
372,1703,Yes,1.5,Yes,17,Yes,55.0,0.7,138,5,19,1411,1711,2993.0,5,1.0,20,Yes,Yes,Yes,3
373,1067,Yes,1.7,Yes,0,No,58.0,0.5,135,7,0,79,681,706.0,12,9.0,16,No,Yes,No,0
374,1334,Yes,2.4,No,5,Yes,42.0,0.6,115,5,14,1187,1974,2542.0,10,1.0,8,Yes,No,No,3
375,775,Yes,2.6,No,0,No,30.0,0.4,189,7,10,561,1510,2523.0,17,16.0,9,Yes,No,Yes,2
376,1899,Yes,0.6,No,0,No,26.0,0.1,151,2,0,96,814,336.0,13,11.0,4,Yes,No,Yes,0
377,930,Yes,1.3,Yes,1,Yes,14.0,0.4,97,6,10,77,1025,2457.0,11,7.0,17,Yes,Yes,No,1
378,1058,No,1.5,No,2,No,19.0,0.4,166,4,14,493,1247,418.0,9,7.0,16,No,No,Yes,0
379,1187,Yes,2.2,No,0,Yes,46.0,0.4,145,2,9,1173,1814,3917.0,13,11.0,8,Yes,,Yes,3
380,1874,Yes,2.7,Yes,10,No,,0.9,166,7,13,964,1233,1246.0,8,1.0,2,No,No,Yes,1
381,1482,No,0.5,No,2,No,48.0,0.2,142,7,10,634,642,2971.0,12,8.0,12,Yes,Yes,Yes,2
382,1809,Yes,1.7,No,3,Yes,59.0,0.1,174,3,4,639,721,2324.0,10,6.0,16,Yes,No,Yes,2
383,864,Yes,3.0,Yes,0,Yes,54.0,0.7,187,2,1,127,1670,3121.0,18,2.0,16,Yes,Yes,Yes,2
384,625,Yes,1.9,No,12,Yes,33.0,0.2,191,1,20,431,550,3801.0,10,6.0,2,Yes,No,No,2
385,1880,Yes,1.8,No,4,Yes,18.0,0.7,138,3,5,71,699,3333.0,17,15.0,7,Yes,No,No,3
386,1138,No,1.4,No,12,Yes,44.0,0.2,187,8,17,111,1138,3475.0,19,3.0,3,Yes,No,No,3
387,560,No,0.5,No,14,No,23.0,1.0,146,8,15,356,1903,2360.0,17,16.0,18,No,Yes,Yes,1
388,1117,No,0.5,No,1,No,12.0,0.6,144,7,8,798,817,2895.0,7,6.0,16,Yes,Yes,No,2
389,1712,No,1.4,No,1,No,63.0,0.5,137,7,12,747,1126,3652.0,16,1.0,19,Yes,No,No,3
390,1836,Yes,1.7,Yes,3,No,26.0,0.1,134,6,16,408,1139,3097.0,5,0.0,18,No,,No,3
391,1036,Yes,2.4,No,0,No,39.0,0.2,119,7,3,373,926,,10,7.0,2,No,Yes,No,1
392,1860,Yes,2.3,No,15,No,23.0,0.6,162,4,16,1362,1506,3918.0,9,2.0,8,No,,No,3
393,1375,Yes,1.1,No,3,Yes,9.0,0.9,145,7,19,475,726,3869.0,19,18.0,10,Yes,Yes,Yes,3
394,1945,No,1.6,Yes,0,Yes,57.0,0.3,195,4,1,743,1753,732.0,14,1.0,14,Yes,Yes,No,1
395,1896,No,0.5,Yes,8,Yes,7.0,0.4,141,2,13,447,794,3684.0,9,7.0,18,Yes,No,No,3
396,788,No,2.5,Yes,4,Yes,57.0,0.9,91,8,12,42,1161,3969.0,12,8.0,6,Yes,Yes,Yes,3
397,880,Yes,1.7,Yes,0,No,33.0,0.7,173,2,2,30,1350,1414.0,12,1.0,7,Yes,,No,0
398,1323,Yes,2.5,Yes,10,Yes,28.0,0.2,131,4,12,162,619,1892.0,10,0.0,15,Yes,Yes,Yes,1
399,1868,No,2.0,Yes,0,Yes,42.0,0.2,169,1,4,347,660,3131.0,8,3.0,7,Yes,,Yes,3
400,1266,No,1.9,Yes,0,Yes,7.0,0.2,184,3,12,346,1468,2532.0,10,5.0,4,Yes,Yes,Yes,2
401,1042,No,2.7,Yes,16,Yes,50.0,0.8,93,7,18,727,1705,3215.0,18,0.0,20,Yes,Yes,Yes,3
402,1479,No,0.5,No,8,No,19.0,0.6,156,3,10,180,1476,3323.0,13,12.0,6,Yes,No,Yes,3
403,1476,Yes,1.2,Yes,0,Yes,55.0,0.1,171,4,5,1641,1666,1529.0,13,8.0,3,Yes,No,Yes,2
404,1552,Yes,2.2,No,6,Yes,13.0,0.2,123,6,9,269,1026,2403.0,9,2.0,9,Yes,Yes,Yes,2
405,1454,Yes,0.5,Yes,1,No,34.0,0.7,83,4,3,250,1033,3419.0,7,5.0,5,Yes,Yes,No,3
406,1007,No,2.0,No,0,No,45.0,0.1,95,5,2,1186,1529,3648.0,9,0.0,16,No,No,No,3
407,652,Yes,2.4,Yes,9,Yes,17.0,0.7,173,5,11,77,559,1974.0,12,10.0,12,Yes,No,No,0
408,1504,No,1.5,No,12,Yes,34.0,0.7,142,8,15,507,973,2806.0,7,2.0,7,Yes,No,Yes,2
409,1726,Yes,0.9,Yes,2,No,51.0,0.6,193,4,3,379,1223,2239.0,13,9.0,13,Yes,No,Yes,2
410,1029,Yes,1.9,Yes,5,Yes,5.0,0.2,171,5,8,264,956,582.0,15,7.0,4,Yes,Yes,Yes,0
411,1582,No,2.8,No,2,Yes,44.0,0.5,112,6,13,1486,1797,3890.0,17,10.0,10,Yes,Yes,Yes,3
412,1478,Yes,0.8,Yes,12,No,48.0,0.7,99,5,17,694,882,,5,2.0,6,No,No,Yes,1
413,1178,Yes,1.3,No,0,No,,0.6,101,5,0,579,596,2511.0,6,3.0,17,No,No,No,2
414,707,No,2.1,Yes,2,No,25.0,0.8,131,3,17,495,574,3838.0,9,2.0,7,Yes,,Yes,3
415,755,Yes,2.8,No,5,Yes,51.0,0.3,186,4,12,315,990,2734.0,10,1.0,16,Yes,No,Yes,2
416,912,Yes,2.0,No,1,No,54.0,0.3,161,8,5,329,1053,2330.0,19,5.0,20,No,Yes,No,1
417,651,Yes,0.8,Yes,2,Yes,63.0,0.2,176,5,4,548,858,2244.0,14,9.0,19,Yes,Yes,No,1
418,1483,No,2.1,No,1,Yes,,0.2,176,7,2,531,758,1851.0,15,13.0,2,Yes,Yes,No,1
419,914,Yes,0.9,No,2,No,4.0,0.8,100,2,12,191,1495,808.0,11,7.0,5,Yes,Yes,No,0
420,1456,Yes,0.5,Yes,7,No,7.0,0.4,105,5,12,823,1104,1587.0,6,5.0,20,Yes,No,Yes,1
421,1178,No,2.2,Yes,6,No,57.0,0.3,84,3,17,96,1352,2492.0,16,14.0,10,Yes,Yes,No,2
422,1503,Yes,0.7,No,10,Yes,43.0,0.2,166,4,14,841,1304,2122.0,15,1.0,2,Yes,No,No,2
423,1681,Yes,2.5,No,2,No,11.0,0.4,158,2,13,195,1205,1122.0,12,6.0,16,No,Yes,Yes,0
424,715,No,2.3,Yes,4,No,48.0,0.1,160,4,6,21,562,3709.0,14,2.0,10,No,No,No,2
425,1876,No,2.8,Yes,3,Yes,56.0,0.4,182,3,4,235,585,3021.0,12,2.0,18,Yes,No,No,2
426,1190,Yes,2.2,Yes,9,No,47.0,0.3,186,6,10,1417,1441,624.0,9,3.0,19,Yes,Yes,Yes,0
427,1755,Yes,1.3,No,0,Yes,24.0,0.1,134,7,2,286,1075,3937.0,8,1.0,7,Yes,No,Yes,3
428,1197,No,1.3,No,3,Yes,20.0,0.5,149,6,7,649,1629,1797.0,19,5.0,4,Yes,Yes,Yes,1
429,1048,Yes,0.9,No,10,Yes,28.0,0.8,194,2,19,966,1975,1458.0,5,1.0,15,Yes,No,Yes,1
430,1887,Yes,3.0,Yes,6,Yes,17.0,0.2,126,8,7,1172,1798,3348.0,18,16.0,16,Yes,Yes,No,3
431,1772,Yes,0.5,Yes,3,No,,0.7,116,8,15,270,545,1834.0,5,2.0,20,No,Yes,Yes,1
432,1421,No,2.8,No,0,Yes,,0.4,165,1,2,781,1657,2775.0,13,8.0,14,Yes,No,Yes,3
433,1464,No,0.5,Yes,0,Yes,17.0,0.7,153,6,8,418,1341,,13,6.0,19,Yes,No,No,1
434,728,No,2.3,Yes,4,No,23.0,0.8,111,4,5,126,817,457.0,17,10.0,16,Yes,,Yes,0
435,954,Yes,0.5,No,0,No,50.0,0.3,134,2,11,228,1058,438.0,17,0.0,2,Yes,No,No,0
436,685,No,0.5,Yes,8,Yes,13.0,0.8,82,7,15,1091,1203,3210.0,15,7.0,2,Yes,Yes,Yes,3
437,1472,No,2.8,Yes,1,No,36.0,0.5,130,6,10,1452,1744,985.0,12,11.0,7,Yes,Yes,No,1
438,853,Yes,2.0,No,10,Yes,3.0,0.6,200,2,16,674,740,3701.0,15,8.0,8,Yes,Yes,No,3
439,1469,No,2.1,No,0,No,8.0,0.7,123,7,0,398,1133,1052.0,8,1.0,3,No,Yes,No,0
440,1310,Yes,2.3,Yes,6,No,57.0,0.9,135,8,9,449,889,,16,0.0,8,No,No,No,0
441,1654,No,1.8,No,1,No,11.0,0.3,146,7,2,1184,1719,1070.0,8,1.0,14,Yes,Yes,Yes,1
